artist_id,name,country,genres,tags,popularity_score,follower_count,active_since
A0000,Allison Hill,JP,Electronic,"trance,2010s",0.03112539,1000,1979
A0001,Noah Rhodes,UK,"Electronic,Latin,R&B","night,melancholic,classic,neo-soul",0.22998366,3000,1966
A0002,Angie Henderson,SE,Rock,"mainstream,drums",0.1889317,1000,1997
A0003,Daniel Wagner,DE,Folk,"modern,funk,love,american",0.08663527,1000,2017
A0004,Cristian Santos,US,"Indie,Ambient","remix,piano,groove,underground,latin",0.07167794,5000,1992
A0005,Connie Lawrence,AR,"Ambient,Country,Folk","80s,synth,groove",0.22337638,3000,1997
A0006,Abigail Shaffer,JP,Classical,"neo-soul,piano",0.18197091,13000,2000
A0007,Gina Moore,JP,Folk,"folk-rock,latin,road-trip,experimental",0.08186857,1000,1984
A0008,Gabrielle Davis,US,"Metal,Electronic,Pop","synth,european,techno,soul",0.031239565,2000,1967
A0009,Ryan Munoz,UK,"Hip-Hop,Classical","party,fast,ambient",0.04116006,6000,1991
A0010,Monica Herrera,UK,"Latin,Indie","lo-fi,techno",0.15325594,1000,2014
A0011,Jamie Arnold,KR,"R&B,Folk","remix,guitar,love,instrumental",0.45713896,5000,1979
A0012,Lisa Hensley,DE,Hip-Hop,"guitar,trance,piano",0.5037684,1000,2014
A0013,Michele Williams,BR,Classical,"summer,underground,remix,group,trap",0.03808209,6000,2013
A0014,Dylan Miller,UK,"Jazz,Electronic,Hip-Hop","spoken-word,drone,energetic,heartbreak",0.16628644,3000,1975
A0015,Brian Ramirez,US,Pop,"love,latin,heartbreak",0.06396868,2000,1996
A0016,Holly Wood,CA,Electronic,"guitar,workout,experimental,rainy-day",0.34466046,1000,2007
A0017,Derek Zuniga,US,"Classical,Pop,Blues","heartbreak,2000s,electric,rainy-day,piano",0.190533,1000,1991
A0018,Lisa Jackson,BR,"Jazz,Country","instrumental,modern,underground",0.24784401,303000,2004
A0019,Carla Gray,AU,Country,"art-rock,chill",0.19749326,1000,2017
A0020,Margaret Hawkins DDS,JP,"Rock,R&B,Folk","duo,summer,morning,solo,dance",0.35905853,133000,1999
A0021,Patty Perez,UK,"Folk,Classical","british,piano,night,house,energetic",0.15265538,5000,2012
A0022,Ethan Adams,AR,R&B,"chill,vocals,instrumental,electric",0.44793895,1000,2010
A0023,Tommy Walter,NO,Classical,"noise,funk,a-cappella",0.07690015,1000,2011
A0024,Matthew Foster,JP,Electronic,"2010s,neo-soul,trance,american",0.3711512,1000,2013
A0025,Judy Baker,US,"Ambient,Country","modern,progressive,night,winter",0.33082518,1000,1974
A0026,Justin Baker,UK,"Reggae,Jazz,Ambient","art-rock,african,upbeat,group",0.07119938,322000,1961
A0027,Stephanie Ross,US,"Folk,Rock,Latin","soul,duo,techno,90s,lo-fi",0.48927188,1000,1969
